STATE,COUNTY,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031+
GEORGIA,MACON,415,226,"1,616",167,92,627,148,0,109,764,572,83
GEORGIA,MADISON,138,113,229,0,0,0,0,0,0,0,0,0
GEORGIA,MARION,82,88,79,120,74,92,0,0,0,0,33,11
GEORGIA,MERIWETHER,351,0,390,0,0,0,0,23,0,0,0,0
GEORGIA,MILLER,0,132,297,0,33,23,44,0,0,44,140,75
GEORGIA,MITCHELL,444,288,952,781,105,202,180,54,64,230,71,506
GEORGIA,MONROE,36,41,0,0,0,74,0,0,0,0,0,0
GEORGIA,MONTGOMERY,329,112,267,104,27,119,0,49,0,0,0,0
GEORGIA,MORGAN,221,34,110,0,2,0,77,0,0,0,0,0
GEORGIA,MURRAY,113,0,2,0,0,0,0,0,2,0,0,49
GEORGIA,NEWTON,0,75,16,0,0,0,0,0,0,0,0,0
GEORGIA,OCONEE,47,123,340,82,0,0,0,0,0,0,0,0
GEORGIA,OGLETHORPE,27,143,142,0,0,0,0,0,0,0,0,0
GEORGIA,PEACH,5,12,180,0,0,17,0,12,0,38,0,100
GEORGIA,PIERCE,72,106,0,0,0,0,46,0,0,76,0,0
GEORGIA,PIKE,7,14,83,0,42,0,0,247,0,0,0,0
GEORGIA,POLK,73,330,116,2,3,3,6,0,0,0,0,0
GEORGIA,PULASKI,212,225,579,161,39,13,76,49,0,0,0,182
GEORGIA,QUITMAN,142,127,234,34,35,0,17,0,0,0,0,150
GEORGIA,RANDOLPH,808,775,"1,606",596,96,341,237,0,67,370,120,115
GEORGIA,RICHMOND,0,75,0,73,0,0,0,0,0,0,0,0
GEORGIA,SCHLEY,110,188,263,42,154,220,0,0,0,121,56,0
GEORGIA,SCREVEN,112,779,"1,192",873,263,214,8,7,269,621,0,0
GEORGIA,SEMINOLE,0,0,148,60,0,65,0,0,0,197,104,73
GEORGIA,SPALDING,0,0,0,0,0,0,0,0,0,9,0,0
GEORGIA,STEWART,115,288,637,68,141,339,125,120,0,272,76,16
GEORGIA,SUMTER,406,497,"2,226","1,654",362,"2,344",913,252,0,654,859,129
GEORGIA,TALBOT,0,0,0,0,61,0,31,0,0,0,129,0
GEORGIA,TALIAFERRO,0,0,0,0,0,0,0,0,0,0,0,94
GEORGIA,TATTNALL,321,310,453,225,242,496,81,33,86,51,18,62
GEORGIA,TAYLOR,314,134,608,57,0,47,0,0,0,82,131,150
GEORGIA,TELFAIR,837,203,321,0,160,178,135,176,101,67,0,165
GEORGIA,TERRELL,"1,129","1,596","3,340","1,878",579,632,275,623,71,"2,188",770,"1,399"
GEORGIA,THOMAS,619,589,"1,097",263,261,91,179,22,159,664,577,244
GEORGIA,TIFT,35,147,274,17,32,140,57,22,18,45,304,0
GEORGIA,TOOMBS,209,0,75,105,166,154,0,173,0,12,0,0
GEORGIA,TREUTLEN,186,198,92,124,0,0,49,0,0,0,0,0
GEORGIA,TROUP,33,0,17,0,0,0,0,0,0,0,0,0
GEORGIA,TURNER,285,465,"1,776",316,497,511,116,59,65,"1,657","1,166",347
GEORGIA,TWIGGS,1,0,147,0,0,28,45,0,0,0,0,0
GEORGIA,UPSON,123,87,50,0,0,0,0,0,0,0,0,0
GEORGIA,WALKER,10,27,47,0,16,1,0,0,0,0,0,0
GEORGIA,WALTON,109,661,86,52,0,0,0,0,0,0,0,0
GEORGIA,WARE,36,89,37,0,0,51,10,0,0,0,77,0
GEORGIA,WARREN,268,133,65,0,0,0,0,0,0,0,0,0
GEORGIA,WASHINGTON,334,847,502,36,0,84,31,0,0,154,28,39
GEORGIA,WAYNE,0,61,23,0,0,0,0,47,0,0,72,0
GEORGIA,WEBSTER,107,196,942,411,323,198,13,25,0,130,0,0
GEORGIA,WHEELER,14,143,83,0,0,104,106,57,32,0,39,56
GEORGIA,WHITFIELD,0,42,0,0,0,7,0,0,0,0,0,0
GEORGIA,WILCOX,463,534,"1,364",259,116,"1,220",279,20,149,19,19,61
GEORGIA,WILKES,166,25,74,25,0,0,0,0,0,0,0,273
GEORGIA,WILKINSON,0,229,64,33,0,0,216,0,0,0,41,0
GEORGIA,WORTH,243,484,"1,075",256,485,277,166,0,134,182,719,255
HAWAII,HAWAII,0,0,0,0,147,0,329,0,273,225,0,216
HAWAII,HONOLULU,0,0,0,0,0,0,0,0,0,0,0,84
HAWAII,MAUI,0,0,0,0,0,2,0,0,0,0,0,5
IDAHO,ADAMS,0,687,337,0,0,11,0,0,0,0,0,0
IDAHO,BANNOCK,"6,710","6,223","14,699","2,105","16,729","3,296",721,"3,820",27,0,0,498
IDAHO,BEAR LAKE,"3,306","5,715","1,848",289,0,0,"1,011",0,0,0,0,0
IDAHO,BENEWAH,"1,078",391,166,"1,620",460,137,336,528,3,31,9,12
IDAHO,BINGHAM,"7,133","7,106","4,278",690,0,227,"1,747",241,0,0,0,248
IDAHO,BLAINE,689,0,85,0,0,0,0,0,0,0,0,0
IDAHO,BOISE,0,0,0,0,13,0,0,0,0,0,0,522
IDAHO,BONNER,66,7,0,0,0,0,0,0,0,0,0,33
IDAHO,BONNEVILLE,"12,552","2,796","10,377","13,327",923,"3,892",974,"2,178",0,0,0,0
IDAHO,BOUNDARY,268,0,144,0,0,0,0,0,0,0,0,0
IDAHO,CAMAS,"1,668",270,614,146,0,310,0,0,0,0,152,0
IDAHO,CARIBOU,"19,019","14,572","5,250","1,212",360,468,722,0,0,0,0,114
IDAHO,CASSIA,"13,943","23,583","8,620","1,768",0,0,"1,101","2,493",0,0,0,"1,186"
IDAHO,CLARK,"2,403","1,066",378,80,0,0,0,74,0,0,100,50
IDAHO,CLEARWATER,264,554,291,265,25,289,21,48,0,0,174,52
IDAHO,CUSTER,71,0,0,0,0,0,0,0,0,0,0,0
IDAHO,ELMORE,201,126,119,0,0,0,0,0,0,0,0,0
